publish_date,headline_category,headline_text,Label
20010720,entertainment.hindi.bollywood.news,Doctors worried over Bharat Shah's poor health,
20010722,unknown,Lottery prize yields pittance; says CAG report,
20010723,city.bengaluru,MES refuses to bury border hatchet,
20010729,india,CPM; CPI flay move to requisition TN IPS officers,
20010805,city.chandigarh,Commemorative Stamp on Shri Dwarka Prasad Mishra,
20010812,city.ahmedabad,No Janmashtami fair in Bhuj this year,
20010812,city.bengaluru,Central team report today: Venkaiah,
20010813,city.bengaluru,CPM pooh-poohs ministers' visit,
20010814,city.delhi,HC open to direct blood donation,
20010818,business.india-business,Kinetic in venture for auto ancillaries,
20010820,city.ahmedabad,University toys with disaster mgmt course,
20010823,city.hyderabad,Clay idols do brisk business,
20010901,city.lucknow,Rivals clash on campus,
20010903,bombay-times,Wine; dine 'n'meet the stars,
20010904,unknown,Mobile users feel the pinch of WiLL testing,
20010905,business.india-business,IPO to infuse new life in ABCL,
20010914,city.kolkata,CBI files affidavit on Latvians' release,
20010919,hyderabad-times,Of Dreams and reality,
20010920,city.delhi,IB fears Advani; Priyanka on hit-list,
20010929,unknown,Indian colts leave for Australia,
20011005,city.hyderabad,Excess tobacco a waste: CM,
20011026,city.lucknow,New train from Patna to Rajgir,
20011027,city.lucknow,Senior citzens felicitated,
20011103,city.bengaluru,Govt won't revamp Roerich trust now,
20011110,city.ahmedabad,CM to lay stone for Maliya canal today,
20011113,home.education,A wider reach,
20011121,business.india-business,India gains from Doha: Maran,
20011125,city.patna,Laloo let fraud go on intentionally: CBI,
20011125,city.delhi,Complicated calculations,
20011209,city.lucknow,IAS officer's wife suffers burns,
20011218,city.chandigarh,Death of child fail to evoke authorities' reaction,
20011219,city.hyderabad,Cityscan: 'Face-to-Face',
20020101,unknown,Inconsistency Inc.,
20020108,unknown,Bhattarai to undertake week-long visit to India,
20020113,business.india-business,Case for a flat 20 per cent import duty,
20020118,city.kolkata,Lost & found stories wash up the shores,
20020121,entertainment.hindi.bollywood.news,Grace; beauty at Miss India finals,
20020129,ahmedabad-times,A treasure house of manuscripts,
20020203,city.mumbai,Saffron alliance faces tough competition from Cong: Survey,
20020204,city.ahmedabad,Kamal Nath in state tomorrow,
20020207,city.bengaluru,Sadashiva panel begins hearing on STF atrocities,
20020211,hyderabad-times,Career in a coffee cup,
20020212,cricket,Kirti Azad to meet BCCI chief Dalmiya tomorrow,
20020226,city.delhi,Uneasy uncertainty in Lajpat Nagar,
20020226,pune-times,A roar in the wild,
20020301,city.ahmedabad,GEB cashier attacked; Rs 50;000 looted,
20020301,business.india-business,Merger logical; to boost HPCL; BPCL bid: Analysts,
20020302,city.kolkata,Bengal political tradition ensures amity,
20020307,city.hyderabad,BJP offers speaker to TDP again,
20020314,bangalore-times,KSRTC bus station gets public-friendly,
20020315,city.bengaluru,Godhuli is 100; Gurudutt upbeat,
20020326,india,Ban Sangh Parivar outfits: Christian council,
20020402,city.lucknow,HC disposes of writ on absorption,
20020408,india,Longer it takes; the better for Mayawati,
20020425,unknown,Bhambri to clash with Goutam,
20020426,city.lucknow,14;000 pouches of liquor seized,
20020502,city.hyderabad,Rallies mark May Day celebrations,
20020508,delhi-times,NY falls in love with Aamir Khan,
20020509,bombay-times,Robert Miles plays the Mumbai chord,
20020511,india,Police depts at logger heads in Sidhu case,
20020515,city.delhi,Karol Bagh won't lose trees; one-way traffic plan likely,
20020519,unknown,Will journalist pen fall to the sword of Uncle Sam?,
20020522,city.delhi,Decision on trial date in Parliament attack today,
20020526,lucknow-times,All aboard; touts ahoy!,
20020601,city.bengaluru,HC dismisses PIL on President post,
20020606,business.india-business,Ajit Singh rules out ban on Bt cotton seeds,
20020616,city.hyderabad,CM takes a dig at communists,
20020619,city.lucknow,BJP shuts door on media,
20020622,city.hyderabad,Rabey Nadvi elected AIMPLB president,
20020628,lucknow-times,Celluloid encore: Play it again Bollywood,
20020629,city.thiruvananthapuram,KSMTF march to Secretariat on Aug 5,
20020711,india,Charges against Vaiko,
20020712,india,BJP finalises names for induction into UP Cabinet,
20020713,city.chandigarh,Punjab to levy entry tax on yarn,
20020714,unknown,Knight after Knight,
20020725,city.chandigarh,People's verdict must about new districts: Cong,
20020727,city.chandigarh,Advani promises to look into Loomba case,
20020804,business.india-business,Raymond looking at acquisitions,
20020805,unknown,Special force to guard embassies in Pak,
20020814,city.patna,Rising trend of Bihar rivers continues,
20020821,city.lucknow,Brajesh's nephew in police custody,
20020822,india,EC calls meet to review J&K poll preparations,
20020822,unknown,UK must stop people funding J&K militants: Advani,
20020901,city.chandigarh,Brigadier booked for manhandling,
20020904,cricket,Star players have everything to lose,
20020906,business.india-business,Warburg may defer GACL plan,
20020907,unknown,Body building in Asian games for first time since 1951,
20020921,city.patna,Scarcity of life-saving drugs hits Vaishali district,
20021001,city.pune,Commuters on crowded locals brave stones too,
20021005,city.ahmedabad,Rally turns violent in Bhavnagar,
20021014,unknown,Mark Philippoussis to participate at Tata Open,
20021015,unknown,Outsourcing Is In,
20021027,calcutta-times,Harmony concert to usher in Kali Puja at Dakshineswar,
20021101,unknown,Kadamba Transport traffic earnings up,
20021207,city.patna,Prisoners revel on Eid in Beur jail,
20021209,india,Brigand still roams; despite STFs and crores of rupees,
20021217,city.mumbai,US teacher gives a hands-on green lesson,
20021223,city.lucknow,BJP to review coalition performance in state,
20030104,bombay-times,Anyone for some car seva?,
20030113,hyderabad-times,The notes of a cure,
20030114,unknown,Night curfew to continue in Lunawada,
20030118,india,National Security Advisory Board reconstituted,
20030122,city.lucknow,Convocation stars that might just not twinkle,
20030122,unknown,Indian Davis Cup team to sport national colours,
20030128,unknown,Double for Rajeev,
20030130,city.chandigarh,DIG rank officer charged with not paying contractor,
20030131,business.india-business,Small storm in a big cup,
20030216,home.sunday-times.deep-focus,The Devil's alternative,
20030220,city.pune,Environment report raps PCMT for air pollution,
20030221,city.chandigarh,Jail inmates' hospital yearnings checked,
20030306,city.bengaluru,HC dismisses plea against unauthorised structure,
20030306,city.chandigarh,VB finds 300 gm gold in Sharma's locker,
20030307,world.us,Khalid predicts attacks on US in case of war,
20030318,city.pune,MCSAC receives complaints from Aundh,
